,date,humi
0,2021-10-7-16:22:28,46.17
1,2021-10-7-16:32:49,45.63
2,2021-10-7-16:43:10,46.93
3,2021-10-7-16:53:31,47.23
4,2021-10-7-17:3:53,47.5
5,2021-10-7-17:14:14,47.42
6,2021-10-7-17:24:35,47.68
7,2021-10-7-17:34:57,47.97
8,2021-10-7-17:45:18,48.15
9,2021-10-7-17:55:39,48.31
10,2021-10-7-18:6:0,48.06
11,2021-10-7-18:16:22,48.13
12,2021-10-7-18:26:43,48.64
13,2021-10-7-18:37:4,48.9
14,2021-10-7-18:47:26,48.8
15,2021-10-7-18:57:47,48.76
16,2021-10-7-19:8:8,48.57
17,2021-10-7-19:18:29,48.46
18,2021-10-7-19:28:51,48.41
19,2021-10-7-19:39:12,48.96
20,2021-10-7-19:49:33,49.21
21,2021-10-7-19:59:54,49.15
22,2021-10-7-20:10:15,49.21
23,2021-10-7-20:20:37,48.33
24,2021-10-7-20:30:58,49.11
25,2021-10-7-20:41:19,49.81
26,2021-10-7-20:51:41,49.65
27,2021-10-7-21:2:2,49.08
28,2021-10-7-21:12:23,49.08
29,2021-10-7-21:22:45,49.02
30,2021-10-7-21:33:6,49.43
31,2021-10-7-21:43:27,50.2
32,2021-10-7-21:53:48,50.09
33,2021-10-7-22:4:9,49.75
34,2021-10-7-22:14:30,49.55
35,2021-10-7-22:24:52,49.47
36,2021-10-7-22:35:13,49.51
37,2021-10-7-22:45:34,49.3
38,2021-10-7-22:55:55,49.45
39,2021-10-7-23:6:17,49.33
40,2021-10-7-23:16:38,49.44
41,2021-10-7-23:26:59,49.43
42,2021-10-7-23:37:21,49.62
43,2021-10-7-23:47:42,49.57
44,2021-10-7-23:58:3,49.68
45,2021-10-8-0:8:24,49.7
46,2021-10-8-0:18:46,49.75
47,2021-10-8-0:29:7,49.78
48,2021-10-8-0:39:28,49.94
49,2021-10-8-0:49:49,50.18
50,2021-10-8-1:0:11,50.37
51,2021-10-8-1:10:32,50.17
52,2021-10-8-1:20:53,49.96
53,2021-10-8-1:31:14,49.92
54,2021-10-8-1:41:35,49.92
55,2021-10-8-1:51:56,49.99
56,2021-10-8-2:2:18,50.16
57,2021-10-8-2:12:39,50.22
58,2021-10-8-2:23:0,50.43
59,2021-10-8-2:33:21,50.57
60,2021-10-8-2:43:43,50.57
61,2021-10-8-2:54:4,50.47
62,2021-10-8-3:4:25,50.91
63,2021-10-8-3:14:46,51.71
64,2021-10-8-3:25:7,51.34
65,2021-10-8-3:35:29,50.96
66,2021-10-8-3:45:50,50.71
67,2021-10-8-3:56:11,50.45
68,2021-10-8-4:6:32,50.52
69,2021-10-8-4:16:53,50.52
70,2021-10-8-4:27:15,50.55
71,2021-10-8-4:37:36,50.77
72,2021-10-8-4:47:57,50.63
73,2021-10-8-4:58:18,50.71
74,2021-10-8-5:8:40,50.89
75,2021-10-8-5:19:1,50.88
76,2021-10-8-5:29:22,51.09
77,2021-10-8-5:39:43,51.28
78,2021-10-8-5:50:5,51.64
79,2021-10-8-6:0:26,51.35
80,2021-10-8-6:10:47,51.53
81,2021-10-8-6:21:8,51.35
82,2021-10-8-6:31:30,51.31
83,2021-10-8-6:41:51,51.12
84,2021-10-8-6:52:12,51.48
85,2021-10-8-7:2:33,50.22
86,2021-10-8-7:12:55,49.53
87,2021-10-8-7:23:16,49.35
88,2021-10-8-7:33:37,48.9
89,2021-10-8-7:43:58,48.31
90,2021-10-8-7:54:20,47.84
91,2021-10-8-8:4:41,47.57
92,2021-10-8-8:15:2,47.34
93,2021-10-8-8:25:23,47.07
94,2021-10-8-8:35:45,46.92
95,2021-10-8-8:46:6,46.86
96,2021-10-8-8:56:27,46.59
97,2021-10-8-9:6:49,46.4
98,2021-10-8-9:17:10,46.15
99,2021-10-8-9:27:31,45.83
100,2021-10-8-9:37:52,45.93
101,2021-10-8-9:48:14,45.92
102,2021-10-8-9:58:35,46.14
103,2021-10-8-10:8:56,45.43
104,2021-10-8-10:19:17,45.58
105,2021-10-8-10:29:39,45.45
106,2021-10-8-10:40:0,46.46
107,2021-10-8-10:50:21,47.13
108,2021-10-8-11:0:42,47.36
109,2021-10-8-11:11:4,47.51
110,2021-10-8-11:21:25,47.65
111,2021-10-8-11:31:46,47.59
112,2021-10-8-11:42:8,47.72
113,2021-10-8-11:52:29,47.98
114,2021-10-8-12:2:50,47.82
115,2021-10-8-12:13:11,48.12
116,2021-10-8-12:23:33,48.2
117,2021-10-8-12:33:54,48.06
118,2021-10-8-12:44:15,48.71
119,2021-10-8-12:54:36,48.92
120,2021-10-8-13:4:57,48.58
121,2021-10-8-13:15:19,48.68
122,2021-10-8-13:25:40,47.76
123,2021-10-8-13:36:1,47.26
124,2021-10-8-13:46:22,47.88
125,2021-10-8-13:56:44,48.6
126,2021-10-8-14:7:5,49.3
127,2021-10-8-14:17:26,49.49
128,2021-10-8-14:27:47,49.26
129,2021-10-8-14:38:9,48.91
130,2021-10-8-14:48:30,48.96
131,2021-10-8-14:58:51,49.06
132,2021-10-8-15:9:13,49.02
133,2021-10-8-15:19:34,49.39
134,2021-10-8-15:29:55,49.92
135,2021-10-8-15:40:16,49.79
136,2021-10-8-15:50:37,49.45
137,2021-10-8-16:0:59,49.57
138,2021-10-8-16:11:20,49.2
139,2021-10-8-16:21:41,49.08
140,2021-10-8-16:32:2,49.14
141,2021-10-8-16:42:24,49.17
142,2021-10-8-16:52:45,49.71
143,2021-10-8-17:3:6,49.77
144,2021-10-8-17:13:27,49.82
145,2021-10-8-17:23:49,49.76
146,2021-10-8-17:34:10,49.51
147,2021-10-8-17:44:31,49.52
148,2021-10-8-17:54:52,49.38
149,2021-10-8-18:5:14,49.83
150,2021-10-8-18:15:35,50.09
151,2021-10-8-18:25:56,50.15
152,2021-10-8-18:36:18,49.8
153,2021-10-8-18:46:39,49.87
154,2021-10-8-18:57:0,49.59
155,2021-10-8-19:7:21,50.01
156,2021-10-8-19:17:42,50.3
157,2021-10-8-19:28:4,50.17
158,2021-10-8-19:38:25,49.96
159,2021-10-8-19:48:46,49.96
160,2021-10-8-19:59:7,49.99
161,2021-10-8-20:9:29,50.28
162,2021-10-8-20:19:50,50.67
163,2021-10-8-20:30:11,51.72
164,2021-10-8-20:40:32,50.78
165,2021-10-8-20:50:54,50.12
166,2021-10-8-21:1:15,49.95
167,2021-10-8-21:11:36,49.63
168,2021-10-8-21:21:57,49.68
169,2021-10-8-21:32:19,49.68
170,2021-10-8-21:42:40,50.12
171,2021-10-8-21:53:1,49.94
172,2021-10-8-22:3:23,49.96
173,2021-10-8-22:13:44,50.04
174,2021-10-8-22:24:5,50.21
175,2021-10-8-22:34:26,50.37
176,2021-10-8-22:44:48,50.4
177,2021-10-8-22:55:9,50.46
178,2021-10-8-23:5:30,50.53
179,2021-10-8-23:15:51,50.45
180,2021-10-8-23:26:13,50.62
181,2021-10-8-23:36:34,50.47
182,2021-10-8-23:46:55,50.46
183,2021-10-8-23:57:16,50.61
184,2021-10-9-0:7:38,50.7
185,2021-10-9-0:17:59,50.64
186,2021-10-9-0:28:20,50.74
187,2021-10-9-0:38:42,51.36
188,2021-10-9-0:49:3,51.67
189,2021-10-9-0:59:24,51.54
190,2021-10-9-1:9:45,51.4
191,2021-10-9-1:20:6,51.18
192,2021-10-9-1:30:28,50.99
193,2021-10-9-1:40:49,51.31
194,2021-10-9-1:51:10,51.0
195,2021-10-9-2:1:31,51.19
196,2021-10-9-2:11:53,51.08
197,2021-10-9-2:22:14,51.26
198,2021-10-9-2:32:35,51.69
199,2021-10-9-2:42:56,52.39
200,2021-10-9-2:53:17,52.54
201,2021-10-9-3:3:39,51.97
202,2021-10-9-3:14:0,51.67
203,2021-10-9-3:24:21,51.69
204,2021-10-9-3:34:42,51.7
205,2021-10-9-3:45:4,51.55
206,2021-10-9-3:55:25,51.53
207,2021-10-9-4:5:46,51.82
208,2021-10-9-4:16:7,52.23
209,2021-10-9-4:26:29,52.4
210,2021-10-9-4:36:50,52.08
211,2021-10-9-4:47:11,51.91
212,2021-10-9-4:57:32,51.83
213,2021-10-9-5:7:54,51.91
214,2021-10-9-5:18:15,51.89
215,2021-10-9-5:28:36,51.88
216,2021-10-9-5:38:57,51.94
217,2021-10-9-5:49:19,52.28
218,2021-10-9-5:59:40,52.36
219,2021-10-9-6:10:1,52.31
220,2021-10-9-6:20:22,52.17
221,2021-10-9-6:30:44,51.22
222,2021-10-9-6:41:5,50.09
223,2021-10-9-6:51:26,49.69
224,2021-10-9-7:1:47,49.47
225,2021-10-9-7:12:9,49.31
226,2021-10-9-7:22:30,48.94
227,2021-10-9-7:32:51,48.43
228,2021-10-9-7:43:12,48.11
229,2021-10-9-7:53:33,47.69
230,2021-10-9-8:3:55,47.29
231,2021-10-9-8:14:16,47.06
232,2021-10-9-8:24:37,46.98
233,2021-10-9-8:34:59,46.63
234,2021-10-9-8:45:20,46.49
235,2021-10-9-8:55:41,46.18
236,2021-10-9-9:6:3,46.07
237,2021-10-9-9:16:24,46.12
238,2021-10-9-9:26:45,45.86
239,2021-10-9-9:37:6,45.72
240,2021-10-9-9:47:27,45.33
